validation_scope,split_name,holdout_key,target,model,n_rows,n_train,n_holdout,n_groups,n_folds,mean_runtime_min,mae,rmse,r2,spearman,normalized_mae_runtime_pct,mean_bias,median_abs_error
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,rt_min,random_forest,1340,16027.0,1340.0,335.0,,47.75,2.6876486602277305,5.446703185765792,0.9133749785213685,0.9677715405155886,5.628583581628755,-0.09102343030077312,1.0171620017309002
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,rt_min,extra_trees,1340,16027.0,1340.0,335.0,,47.75,2.761210345518188,4.694856130773539,0.935639336420333,0.9638829521011292,5.782639467053797,-0.9599679496436047,1.210620312503921
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,rt_min,hist_gradient_boosting,1340,16027.0,1340.0,335.0,,47.75,2.479804571108474,4.536959494279038,0.9398956727472929,0.979522129401882,5.1933080023214115,-0.20024566294943033,1.3981026124771316
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,quality_score,linear_ridge,1340,16027.0,1340.0,335.0,,47.75,0.0002167967158129707,0.0002512571788035551,,,,5.535542205200094e-05,0.00020589932756154283
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,quality_score,random_forest,1340,16027.0,1340.0,335.0,,47.75,4.4297898682543746e-14,4.4297898682543746e-14,,,,4.4297898682543746e-14,4.4297898682543746e-14
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,quality_score,extra_trees,1340,16027.0,1340.0,335.0,,47.75,6.827871601444713e-14,6.827871601444713e-14,,,,6.827871601444713e-14,6.827871601444713e-14
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,quality_score,hist_gradient_boosting,1340,16027.0,1340.0,335.0,,47.75,0.00016950558251216974,0.00030005266404915196,,,,-5.031582613246959e-05,7.348741411938864e-05
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,rt_min,linear_ridge,1340,16027.0,1340.0,335.0,,21.5,2.221302338138167,2.823016880867855,0.6885768733249558,0.9130019416616053,10.331638782037986,-0.28163033458052594,1.8643462078219635
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,rt_min,random_forest,1340,16027.0,1340.0,335.0,,21.5,0.7197961100596497,0.9235418630816691,0.9666698642092757,0.9829554685491857,3.3478888839983707,0.4634120310549439,0.5517708333333324
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,rt_min,extra_trees,1340,16027.0,1340.0,335.0,,21.5,0.6406113430408349,0.8071839458538674,0.9745393819608926,0.9901321560378497,2.979587642050395,0.5055872784225164,0.5049824218828132
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,rt_min,hist_gradient_boosting,1340,16027.0,1340.0,335.0,,21.5,0.9003179416542979,1.208708352830312,0.9429090911020601,0.9717225198319334,4.187525310019991,0.23848276080121106,0.6709239485032947
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,quality_score,linear_ridge,1340,16027.0,1340.0,335.0,,21.5,0.009243762460737834,0.01300001118591691,,,,0.009235335692975263,0.00907719267264373
